Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
blue,cuboid/cuboid_4 (blue cuboid block)      triangle/triangle_3 (green triangle block)      cuboid/cuboid_4 (blue cuboid block)      orange/orange_4 (orange ellipsoid)      ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
blue,cuboid/cuboid_4 (blue cuboid block)      cuboid/cuboid_4 (blue cuboid block)      cuboid/cuboid_4 (blue cuboid block)      orange/orange_4 (orange ellipsoid)      ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
blue,triangle/triangle_3 (green triangle block)      cuboid/cuboid_4 (blue cuboid block)      tomato/tomato_3 (red tomato ellipsoid)      orange/orange_4 (orange ellipsoid)      ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) ,1.0,1.0,0.0,2.0,0.5,1.0,0.333333333333,0.5
blue,triangle/triangle_3 (green triangle block)      cuboid/cuboid_4 (blue cuboid block)      orange/orange_4 (orange ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      cuboid/cuboid_4 (blue cuboid block)      ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
blue,cuboid/cuboid_4 (blue cuboid block)      cuboid/cuboid_4 (blue cuboid block)      orange/orange_4 (orange ellipsoid)      triangle/triangle_3 (green triangle block)      ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
blue,triangle/triangle_3 (green triangle block)      cuboid/cuboid_4 (blue cuboid block)      cuboid/cuboid_4 (blue cuboid block)      tomato/tomato_3 (red tomato ellipsoid)      orange/orange_4 (orange ellipsoid)      ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
blue,orange/orange_4 (orange ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      triangle/triangle_3 (green triangle block)      tomato/tomato_3 (red tomato ellipsoid)      ,cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
blue,cucumber/cucumber_3 (green cucumber ovoid)      orange/orange_4 (orange ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      triangle/triangle_3 (green triangle block)      lime/lime_2 (green lime ellipsoid)      ,cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
blue,tomato/tomato_3 (red tomato ellipsoid)      cuboid/cuboid_4 (blue cuboid block)      cuboid/cuboid_4 (blue cuboid block)      triangle/triangle_3 (green triangle block)      orange/orange_4 (orange ellipsoid)      ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,cuboid/cuboid_4 (blue cuboid block) cuboid/cuboid_4 (blue cuboid block) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
