Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
wedge,triangle/triangle_3 (green triangle block)      orange/orange_4 (orange ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      triangle/triangle_3 (green triangle block)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
wedge,tomato/tomato_3 (red tomato ellipsoid)      triangle/triangle_3 (green triangle block)      cucumber/cucumber_3 (green cucumber ovoid)      triangle/triangle_3 (green triangle block)      orange/orange_4 (orange ellipsoid)      carrot/carrot_2 (carrot orange long-cone)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
wedge,tomato/tomato_3 (red tomato ellipsoid)      carrot/carrot_2 (carrot orange long-cone)      orange/orange_4 (orange ellipsoid)      triangle/triangle_3 (green triangle block)      cucumber/cucumber_3 (green cucumber ovoid)      triangle/triangle_3 (green triangle block)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
wedge,triangle/triangle_3 (green triangle block)      orange/orange_4 (orange ellipsoid)      triangle/triangle_3 (green triangle block)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
wedge,triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      tomato/tomato_3 (red tomato ellipsoid)      orange/orange_4 (orange ellipsoid)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
wedge,triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      orange/orange_4 (orange ellipsoid)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
wedge,triangle/triangle_3 (green triangle block)      tomato/tomato_3 (red tomato ellipsoid)      carrot/carrot_2 (carrot orange long-cone)      orange/orange_4 (orange ellipsoid)      ,triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
wedge,triangle/triangle_3 (green triangle block)      carrot/carrot_2 (carrot orange long-cone)      tomato/tomato_3 (red tomato ellipsoid)      orange/orange_4 (orange ellipsoid)      triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,3.0,0.0,1.0,0.833333333333,1.0,0.666666666667,0.8
wedge,carrot/carrot_2 (carrot orange long-cone)      orange/orange_4 (orange ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      cucumber/cucumber_3 (green cucumber ovoid)      triangle/triangle_3 (green triangle block)      arch/arch_4 (red arch block)      ,triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
wedge,triangle/triangle_3 (green triangle block)      triangle/triangle_3 (green triangle block)      orange/orange_4 (orange ellipsoid)      tomato/tomato_3 (red tomato ellipsoid)      triangle/triangle_3 (green triangle block)      ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,triangle/triangle_3 (green triangle block) triangle/triangle_3 (green triangle block) ,2.0,2.0,0.0,1.0,0.8,1.0,0.666666666667,0.8
 ,,,,,,,,,,,
