Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
orange,banana/banana_1 (yellow banana arch)      cube/cube_1 (yellow cube block)      cuboid/cuboid_1 (yellow cuboid block)      carrot/carrot_1 (carrot orange long-cone)      ,carrot/carrot_1 (carrot orange long-cone) ,banana/banana_1 (yellow banana arch) carrot/carrot_1 (carrot orange long-cone) ,1.0,2.0,1.0,0.0,0.75,0.5,1.0,0.666666666667
orange,orange/orange_1 (orange ellipsoid)      cube/cube_1 (yellow cube block)      carrot/carrot_1 (carrot orange long-cone)      banana/banana_1 (yellow banana arch)      carrot/carrot_1 (carrot orange long-cone)      ,carrot/carrot_1 (carrot orange long-cone) orange/orange_1 (orange ellipsoid) carrot/carrot_1 (carrot orange long-cone) ,orange/orange_1 (orange ellipsoid) banana/banana_1 (yellow banana arch) carrot/carrot_1 (carrot orange long-cone) carrot/carrot_1 (carrot orange long-cone) ,3.0,1.0,1.0,0.0,0.8,0.75,1.0,0.857142857143
orange,cube/cube_1 (yellow cube block)      banana/banana_1 (yellow banana arch)      carrot/carrot_1 (carrot orange long-cone)      orange/orange_1 (orange ellipsoid)      cuboid/cuboid_1 (yellow cuboid block)      ,carrot/carrot_1 (carrot orange long-cone) orange/orange_1 (orange ellipsoid) ,banana/banana_1 (yellow banana arch) carrot/carrot_1 (carrot orange long-cone) orange/orange_1 (orange ellipsoid) ,2.0,2.0,1.0,0.0,0.8,0.666666666667,1.0,0.8
orange,orange/orange_1 (orange ellipsoid)      cube/cube_1 (yellow cube block)      carrot/carrot_1 (carrot orange long-cone)      ,carrot/carrot_1 (carrot orange long-cone) orange/orange_1 (orange ellipsoid) carrot/carrot_1 (carrot orange long-cone) ,orange/orange_1 (orange ellipsoid) carrot/carrot_1 (carrot orange long-cone) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
orange,orange/orange_1 (orange ellipsoid)      cuboid/cuboid_1 (yellow cuboid block)      carrot/carrot_1 (carrot orange long-cone)      cube/cube_1 (yellow cube block)      banana/banana_1 (yellow banana arch)      ,carrot/carrot_1 (carrot orange long-cone) orange/orange_1 (orange ellipsoid) ,orange/orange_1 (orange ellipsoid) carrot/carrot_1 (carrot orange long-cone) banana/banana_1 (yellow banana arch) ,2.0,2.0,1.0,0.0,0.8,0.666666666667,1.0,0.8
orange,orange/orange_1 (orange ellipsoid)      cube/cube_1 (yellow cube block)      carrot/carrot_1 (carrot orange long-cone)      banana/banana_1 (yellow banana arch)      ,carrot/carrot_1 (carrot orange long-cone) orange/orange_1 (orange ellipsoid) ,orange/orange_1 (orange ellipsoid) carrot/carrot_1 (carrot orange long-cone) banana/banana_1 (yellow banana arch) ,2.0,1.0,1.0,0.0,0.75,0.666666666667,1.0,0.8
orange,cube/cube_1 (yellow cube block)      tomato/tomato_3 (red tomato ellipsoid)      carrot/carrot_1 (carrot orange long-cone)      banana/banana_1 (yellow banana arch)      cuboid/cuboid_1 (yellow cuboid block)      ,carrot/carrot_1 (carrot orange long-cone) ,banana/banana_1 (yellow banana arch) carrot/carrot_1 (carrot orange long-cone) ,1.0,3.0,1.0,0.0,0.8,0.5,1.0,0.666666666667
orange,cube/cube_1 (yellow cube block)      tomato/tomato_3 (red tomato ellipsoid)      cuboid/cuboid_1 (yellow cuboid block)      carrot/carrot_1 (carrot orange long-cone)      banana/banana_1 (yellow banana arch)      ,carrot/carrot_1 (carrot orange long-cone) ,carrot/carrot_1 (carrot orange long-cone) banana/banana_1 (yellow banana arch) ,1.0,3.0,1.0,0.0,0.8,0.5,1.0,0.666666666667
orange,orange/orange_1 (orange ellipsoid)      carrot/carrot_1 (carrot orange long-cone)      cube/cube_1 (yellow cube block)      ,carrot/carrot_1 (carrot orange long-cone) orange/orange_1 (orange ellipsoid) carrot/carrot_1 (carrot orange long-cone) ,orange/orange_1 (orange ellipsoid) carrot/carrot_1 (carrot orange long-cone) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
orange,tomato/tomato_3 (red tomato ellipsoid)      carrot/carrot_1 (carrot orange long-cone)      cube/cube_1 (yellow cube block)      banana/banana_1 (yellow banana arch)      cuboid/cuboid_1 (yellow cuboid block)      ,carrot/carrot_1 (carrot orange long-cone) ,carrot/carrot_1 (carrot orange long-cone) banana/banana_1 (yellow banana arch) ,1.0,3.0,1.0,0.0,0.8,0.5,1.0,0.666666666667
 ,,,,,,,,,,,
purple,cube/cube_1 (yellow cube block)      potato/potato_4 (brown potato ellipsoid)      cabbage/cabbage_1 (cabbage purple ellipsoid)      banana/banana_1 (yellow banana arch)      eggplant/eggplant_4 (eggplant purple ovoid)      cucumber/cucumber_1 (green cucumber ovoid)      ,eggplant/eggplant_4 (eggplant purple ovoid) cabbage/cabbage_1 (cabbage purple ellipsoid) ,eggplant/eggplant_4 (eggplant purple ovoid) cabbage/cabbage_1 (cabbage purple ellipsoid) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
purple,cube/cube_1 (yellow cube block)      cucumber/cucumber_1 (green cucumber ovoid)      potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      eggplant/eggplant_4 (eggplant purple ovoid)      cabbage/cabbage_1 (cabbage purple ellipsoid)      ,eggplant/eggplant_4 (eggplant purple ovoid) cabbage/cabbage_1 (cabbage purple ellipsoid) ,eggplant/eggplant_4 (eggplant purple ovoid) cabbage/cabbage_1 (cabbage purple ellipsoid) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
purple,cabbage/cabbage_1 (cabbage purple ellipsoid)      potato/potato_4 (brown potato ellipsoid)      cube/cube_1 (yellow cube block)      eggplant/eggplant_4 (eggplant purple ovoid)      banana/banana_1 (yellow banana arch)      ,eggplant/eggplant_4 (eggplant purple ovoid) cabbage/cabbage_1 (cabbage purple ellipsoid) ,cabbage/cabbage_1 (cabbage purple ellipsoid) eggplant/eggplant_4 (eggplant purple ovoid) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
purple,potato/potato_4 (brown potato ellipsoid)      cucumber/cucumber_1 (green cucumber ovoid)      cube/cube_1 (yellow cube block)      eggplant/eggplant_4 (eggplant purple ovoid)      banana/banana_1 (yellow banana arch)      ,eggplant/eggplant_4 (eggplant purple ovoid) ,eggplant/eggplant_4 (eggplant purple ovoid) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
purple,cucumber/cucumber_1 (green cucumber ovoid)      cube/cube_1 (yellow cube block)      potato/potato_4 (brown potato ellipsoid)      banana/banana_1 (yellow banana arch)      cabbage/cabbage_1 (cabbage purple ellipsoid)      eggplant/eggplant_4 (eggplant purple ovoid)      ,eggplant/eggplant_4 (eggplant purple ovoid) cabbage/cabbage_1 (cabbage purple ellipsoid) ,eggplant/eggplant_4 (eggplant purple ovoid) cabbage/cabbage_1 (cabbage purple ellipsoid) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
